"Country","Pollution Index","GDP/Capita","WB Region","GDP"
"Afghanistan",0.43902439024390244,618.332789965442,"South Asia",21969414112.4281
"Albania",0.6829268292682927,4868.1973465433,"Europe & Central Asia",13988555742.8063
"Algeria",0.8658536585365854,4825.17858541283,"Middle East & North Africa",199367413967.446
"Andorra",0.5609756097560976,43942.9381865109,"Europe & Central Asia",3382068237.52481
"Angola",0.34146341463414637,3484.59951491702,"Sub - Saharan Africa",103785984479.995
"Argentina",0.5365853658536586,10398.0924648569,"Latin America and the Caribbean",460334377833.471
"Armenia",0.7926829268292683,4219.36854935891,"Europe & Central Asia",12364648565.4688
"Australia",0.2804878048780488,55925.9318168028,"East Asia & Pacific",1375718249724.1
"Austria",0.6219512195121951,49129.2336646382,"Europe & Central Asia",432789834749.335
"Azerbaijan",0.8292682926829269,5805.13453500275,"Europe & Central Asia",57252727186.9126
"Bahamas, The",0.20731707317073172,26538.945633475,"Latin America and the Caribbean",10492464084.5963
"Bangladesh",0.6219512195121951,1093.04927364567,"South Asia",179992151721.964
"Belarus",0.7195121951219512,6375.81728989233,"Europe & Central Asia",60620473815.135
"Belgium",0.8536585365853658,46078.9290873069,"Europe & Central Asia",524012714948.032
"Belize",0.3170731707317073,4315.22498884922,"Latin America and the Caribbean",1616832814.04701
"Benin",0.5121951219512195,859.952685787737,"Sub - Saharan Africa",9610566350.93653
"Bhutan",0.4268292682926829,2955.81111383128,"South Asia",2387142613.64128
"Bolivia",0.3780487804878049,2522.79392024905,"Latin America and the Caribbean",27880909289.0244
"Bosnia and Herzegovina",0.6219512195121951,5561.28795142805,"Europe & Central Asia",19503531387.5533
"Botswana",0.524390243902439,7523.21631997899,"Sub - Saharan Africa",17240661435.0594
"Brazil",0.32926829268292684,10888.9823851831,"Latin America and the Caribbean",2278936372567.307
"Brunei Darussalam",0.23170731707317074,31439.923720596,"East Asia & Pacific",13478200979.2483
"Bulgaria",0.7804878048780488,8311.93089892045,"Europe & Central Asia",58815148233.383
"Burkina Faso",0.6463414634146342,688.533891370075,"Sub - Saharan Africa",13215293997.0124
"Burundi",0.6463414634146342,212.547422124026,"Sub - Saharan Africa",2309167268.07383
"Cambodia",0.4024390243902439,1135.15190231609,"East Asia & Pacific",18168529608.2286
"Cameroon",0.3780487804878049,1503.53459505128,"Sub - Saharan Africa",36165610684.419
"Canada",0.18292682926829268,51315.8889749374,"North America",1883707911710.79
"Central African Republic",0.2926829268292683,335.026085592608,"Sub - Saharan Africa",1560913334.86281
"Chad",0.4634146341463415,823.434891687717,"Sub - Saharan Africa",12269174945.5376
"Chile",0.3170731707317073,15059.5301407621,"Latin America and the Caribbean",271895690380.202
"China",0.573170731707317,7329.08929913216,"East Asia & Pacific",10161012758870.3
"Colombia",0.3048780487804878,7600.75914370259,"Latin America and the Caribbean",372935921852.641
"Congo, Dem. Rep.",0.3902439024390244,409.117369530921,"Sub - Saharan Africa",33277601928.2367
"Congo, Rep.",0.2682926829268293,2576.39611691466,"Sub - Saharan Africa",13553775872.0588
"Costa Rica",0.3902439024390244,9791.99568084512,"Latin America and the Caribbean",48037268859.2239
"Cote d'Ivoire",0.524390243902439,1632.67749323841,"Sub - Saharan Africa",39665491528.8538
"Croatia",0.6585365853658537,15219.8827850368,"Europe & Central Asia",62792670406.2264
"Cuba",0.6707317073170732,6444.98011316934,"Latin America and the Caribbean",73868701308.4427
"Cyprus",0.8048780487804879,29432.6657325205,"Europe & Central Asia",25254845995.1179
"Czech Republic",0.8658536585365854,22779.2918994314,"Europe & Central Asia",241262838218.161
"Denmark",0.8292682926829269,61582.166068968,"Europe & Central Asia",355304650098.016
"Djibouti",0.5609756097560976,1325.99072352076,"Middle East & North Africa",1128611700.3618
"Dominican Republic",0.6829268292682927,7153.07871811932,"Latin America and the Caribbean",77017184251.8333
"Ecuador",0.5365853658536586,5269.61757039174,"Latin America and the Caribbean",87606643822.0677
"Egypt, Arab Rep.",0.7073170731707317,2785.37002141784,"Middle East & North Africa",271721622290.248
"El Salvador",0.5853658536585366,3463.54357848836,"Latin America and the Caribbean",22089971802.6927
"Equatorial Guinea",0.24390243902439027,11486.6109582173,"Sub - Saharan Africa",14561450359.0116
"Eritrea",0.7439024390243902,514.179598235775,"Sub - Saharan Africa",2300794306.42964
"Estonia",0.6341463414634146,18977.3943983974,"Europe & Central Asia",24964382783.2038
"Eswatini",0.6707317073170732,3914.01685925031,"Sub - Saharan Africa",5351455206.87742
"Ethiopia",0.5609756097560976,549.847872764768,"Sub - Saharan Africa",57710624015.1401
"Faroe Islands",0.15853658536585366,47397.9029229641,"Europe & Central Asia",2301168186.90991
"Fiji",0.20731707317073172,4322.98623766442,"East Asia & Pacific",3914472684.17761
"Finland",0.4024390243902439,47057.6190471053,"Europe & Central Asia",259348797027.169
"France",0.7560975609756098,42567.7436477565,"Europe & Central Asia",2857089402048.003
"Gabon",0.17073170731707318,9442.02628324643,"Sub - Saharan Africa",19121396781.1748
"Gambia, The",0.5121951219512195,534.269483616798,"Sub - Saharan Africa",1122269380.66197
"Georgia",0.5975609756097561,4290.16785017122,"Europe & Central Asia",15946982915.8715
"Germany",0.8658536585365854,46747.1924708096,"Europe & Central Asia",3865759081373.601
"Ghana",0.6463414634146342,1813.83558289885,"Sub - Saharan Africa",52299462264.3043
"Greece",0.7317073170731707,23027.4134527969,"Europe & Central Asia",247784663293.158
