"Country","Total Population","GDP/Capita","WB Region","GDP"
"Afghanistan",35530081,618.332789965442,"South Asia",21969414112.4281
"Albania",2873457,4868.1973465433,"Europe & Central Asia",13988555742.8063
"Algeria",41318142,4825.17858541283,"Middle East & North Africa",199367413967.446
"American Samoa",55641,9614.47267179797,"East Asia & Pacific",534555066.079295
"Andorra",76965,43942.9381865109,"Europe & Central Asia",3382068237.52481
"Angola",29784193,3484.59951491702,"Sub - Saharan Africa",103785984479.995
"Antigua and Barbuda",102012,13618.3597014332,"Latin America and the Caribbean",1389236109.8626
"Argentina",44271041,10398.0924648569,"Latin America and the Caribbean",460334377833.471
"Armenia",2930450,4219.36854935891,"Europe & Central Asia",12364648565.4688
"Aruba",105264,24271.9404205267,"Latin America and the Caribbean",2467703910.61453
"Australia",24598933,55925.9318168028,"East Asia & Pacific",1375718249724.1
"Austria",8809212,49129.2336646382,"Europe & Central Asia",432789834749.335
"Azerbaijan",9862429,5805.13453500275,"Europe & Central Asia",57252727186.9126
"Bahamas, The",395361,26538.945633475,"Latin America and the Caribbean",10492464084.5963
"Bahrain",1492584,22111.4772372579,"Middle East & North Africa",33003237140.6953
"Bangladesh",164669751,1093.04927364567,"South Asia",179992151721.964
"Barbados",285719,16503.4783580737,"Latin America and the Caribbean",4715357332.99045
"Belarus",9507875,6375.81728989233,"Europe & Central Asia",60620473815.135
"Belgium",11372068,46078.9290873069,"Europe & Central Asia",524012714948.032
"Belize",374681,4315.22498884922,"Latin America and the Caribbean",1616832814.04701
"Benin",11175692,859.952685787737,"Sub - Saharan Africa",9610566350.93653
"Bermuda",65441,79251.7816637313,"North America",5151445059.9242
"Bhutan",807610,2955.81111383128,"South Asia",2387142613.64128
"Bolivia",11051600,2522.79392024905,"Latin America and the Caribbean",27880909289.0244
"Bosnia and Herzegovina",3507017,5561.28795142805,"Europe & Central Asia",19503531387.5533
"Botswana",2291661,7523.21631997899,"Sub - Saharan Africa",17240661435.0594
"Brazil",209288278,10888.9823851831,"Latin America and the Caribbean",2278936372567.307
"Brunei Darussalam",428697,31439.923720596,"East Asia & Pacific",13478200979.2483
"Bulgaria",7075991,8311.93089892045,"Europe & Central Asia",58815148233.383
"Burkina Faso",19193382,688.533891370075,"Sub - Saharan Africa",13215293997.0124
"Burundi",10864245,212.547422124026,"Sub - Saharan Africa",2309167268.07383
"Cabo Verde",546388,3536.95687140388,"Sub - Saharan Africa",1932550791.05262
"Cambodia",16005373,1135.15190231609,"East Asia & Pacific",18168529608.2286
"Cameroon",24053727,1503.53459505128,"Sub - Saharan Africa",36165610684.419
"Canada",36708083,51315.8889749374,"North America",1883707911710.79
"Central African Republic",4659080,335.026085592608,"Sub - Saharan Africa",1560913334.86281
"Chad",14899994,823.434891687717,"Sub - Saharan Africa",12269174945.5376
"Chile",18054726,15059.5301407621,"Latin America and the Caribbean",271895690380.202
"China",1386395000,7329.08929913216,"East Asia & Pacific",10161012758870.3
"Colombia",49065615,7600.75914370259,"Latin America and the Caribbean",372935921852.641
"Comoros",813912,769.929765555446,"Sub - Saharan Africa",626655075.342764
"Congo, Dem. Rep.",81339988,409.117369530921,"Sub - Saharan Africa",33277601928.2367
"Congo, Rep.",5260750,2576.39611691466,"Sub - Saharan Africa",13553775872.0588
"Costa Rica",4905769,9791.99568084512,"Latin America and the Caribbean",48037268859.2239
"Cote d'Ivoire",24294750,1632.67749323841,"Sub - Saharan Africa",39665491528.8538
"Croatia",4125700,15219.8827850368,"Europe & Central Asia",62792670406.2264
"Cuba",11484636,6444.98011316934,"Latin America and the Caribbean",73868701308.4427
"Cyprus",1179551,29432.6657325205,"Europe & Central Asia",25254845995.1179
"Czech Republic",10591323,22779.2918994314,"Europe & Central Asia",241262838218.161
"Denmark",5769603,61582.166068968,"Europe & Central Asia",355304650098.016
"Djibouti",956985,1325.99072352076,"Middle East & North Africa",1128611700.3618
"Dominica",73925,6556.65177977887,"Latin America and the Caribbean",484700482.820153
"Dominican Republic",10766998,7153.07871811932,"Latin America and the Caribbean",77017184251.8333
"Ecuador",16624858,5269.61757039174,"Latin America and the Caribbean",87606643822.0677
"Egypt, Arab Rep.",97553151,2785.37002141784,"Middle East & North Africa",271721622290.248
"El Salvador",6377853,3463.54357848836,"Latin America and the Caribbean",22089971802.6927
"Equatorial Guinea",1267689,11486.6109582173,"Sub - Saharan Africa",14561450359.0116
"Eritrea",4474690,514.179598235775,"Sub - Saharan Africa",2300794306.42964
"Estonia",1315480,18977.3943983974,"Europe & Central Asia",24964382783.2038
"Eswatini",1367254,3914.01685925031,"Sub - Saharan Africa",5351455206.87742
"Ethiopia",104957438,549.847872764768,"Sub - Saharan Africa",57710624015.1401
"Faroe Islands",49290,47397.9029229641,"Europe & Central Asia",2301168186.90991
"Fiji",905502,4322.98623766442,"East Asia & Pacific",3914472684.17761
"Finland",5511303,47057.6190471053,"Europe & Central Asia",259348797027.169
"France",67118648,42567.7436477565,"Europe & Central Asia",2857089402048.003
"Gabon",2025137,9442.02628324643,"Sub - Saharan Africa",19121396781.1748
"Gambia, The",2100568,534.269483616798,"Sub - Saharan Africa",1122269380.66197
"Georgia",3717100,4290.16785017122,"Europe & Central Asia",15946982915.8715
"Germany",82695000,46747.1924708096,"Europe & Central Asia",3865759081373.601
"Ghana",28833629,1813.83558289885,"Sub - Saharan Africa",52299462264.3043
"Greece",10760421,23027.4134527969,"Europe & Central Asia",247784663293.158
"Greenland",56171,50255.1169982346,"Europe & Central Asia",2823634003.66281
"Grenada",107825,8957.592461052,"Latin America and the Caribbean",965852407.112932
"Guam",164229,32013.7693770213,"East Asia & Pacific",5214914976.43925
"Guatemala",16913503,3124.21035935645,"Latin America and the Caribbean",52841341285.6064
